size smiles gsk3b jnk3 qed sa qed sa max_or_val
27 COc1ccccc1Nc1nc(Nc2ccc(C(C)(C)N)cc2)ncc1F 0.82 0.64 0.6020893699052683 0.8594796839523207 0.6020893699052683 0.8594796839523207 1
22 Fc1cccc(Nc2ncc(F)c(Nc3ccccc3)n2)c1 0.85 0.56 0.7560428283782025 0.8966103588168561 0.7560428283782025 0.8966103588168561 1
17 CNc1nc(Nc2ccc(Cl)cc2)ncc1F 0.74 0.56 0.8815701804728143 0.8855905721031861 0.8815701804728143 0.8855905721031861 1
18 CNc1nc(Nc2ccc(OC)cc2)ncc1F 0.7 0.56 0.8697028825192977 0.8901566570416222 0.8697028825192977 0.8901566570416222 1
20 COc1ccc(Nc2ncc(F)c(NC3CC3)n2)cc1 0.71 0.59 0.8775053917990203 0.8880529907954633 0.8775053917990203 0.8880529907954633 1
15 Cc1nc(Nc2ccccc2)ncc1F 0.55 0.52 0.8149041202303235 0.9017412813732081 0.8149041202303235 0.9017412813732081 1
18 CN(C)c1nc(Nc2ccc(N)cc2)ncc1F 0.55 0.63 0.8119949526393425 0.8623245424111546 0.8119949526393425 0.8623245424111546 1
19 CC(C)(C)Nc1nc(Nc2ccccc2)ncc1F 0.87 0.53 0.8854088044405266 0.8749852085005012 0.8854088044405266 0.8749852085005012 1
20 Fc1cnc(NC2CCCC2)nc1Nc1ccccc1 0.62 0.54 0.8903859020481186 0.8869815710466127 0.8903859020481186 0.8869815710466127 1
21 Fc1cnc(Nc2ccccc2)nc1Nc1ccccc1 0.92 0.55 0.7549981290947186 0.9112579600126371 0.7549981290947186 0.9112579600126371 1
17 c1ccc(Nc2nccc(NC3CC3)n2)cc1 0.74 0.52 0.8412715286028017 0.8981352003083143 0.8412715286028017 0.8981352003083143 1
16 Nc1ccc(Nc2ncc(F)c(N)n2)cc1 0.59 0.65 0.6661249077724543 0.8747226480382194 0.6661249077724543 0.8747226480382194 1
19 CC(C)Nc1nc(Nc2ccc(Br)cc2)ncc1F 0.6 0.6 0.8938358860252714 0.8718034958735055 0.8938358860252714 0.8718034958735055 1
21 Fc1cnc(Nc2ccc(Br)cc2)nc1Nc1cc[nH]n1 0.74 0.64 0.6709837350758231 0.8082824728873883 0.6709837350758231 0.8082824728873883 1
17 CNc1nc(Nc2ccc(Br)cc2)ncc1F 0.75 0.59 0.9133843359208358 0.8769934567185707 0.9133843359208358 0.8769934567185707 1
18 Fc1cnc(NC2CC2)nc1Nc1ccccc1 0.74 0.54 0.8677922939691485 0.8897203767306815 0.8677922939691485 0.8897203767306815 1
16 CNc1ccnc(Nc2ccc(Br)cc2)n1 0.61 0.55 0.9063301105194246 0.8859963232518948 0.9063301105194246 0.8859963232518948 1
18 CCNc1nc(Nc2ccc(Br)cc2)ncc1F 0.79 0.53 0.9063902410001519 0.8776016042512753 0.9063902410001519 0.8776016042512753 1
17 CNc1nc(Nc2ccc(N)cc2)ncc1F 0.69 0.61 0.7066234496625974 0.8705684567185705 0.7066234496625974 0.8705684567185705 1
16 CNc1nc(Nc2ccccc2)ncc1F 0.83 0.53 0.8301255421567212 0.8927016744224632 0.8301255421567212 0.8927016744224632 1
16 Nc1nc(Nc2ccc(Cl)cc2)ncc1F 0.53 0.55 0.8442010248932457 0.8907462377818093 0.8442010248932457 0.8907462377818093 1
15 CNc1ccnc(Nc2ccccc2)n1 0.72 0.55 0.7975156925989036 0.9025104226970007 0.7975156925989036 0.9025104226970007 1
19 NCCNc1nc(Nc2ccc(Br)cc2)ncc1F 0.78 0.6 0.7870178534517415 0.8648173538534011 0.7870178534517415 0.8648173538534011 1
17 CNc1nc(Nc2ccc(N)cc2)ncc1F 0.69 0.61 0.7066234496625974 0.8705684567185705 0.7066234496625974 0.8705684567185705 0
22 Fc1cccc(Nc2ncc(F)c(Nc3ccccc3)n2)c1 0.85 0.56 0.7560428283782025 0.8966103588168561 0.7560428283782025 0.8966103588168561 0
18 CCNc1nc(Nc2ccc([O-])cc2)ncc1F 0.72 0.54 0.8623536244830102 0.7979005484443371 0.8623536244830102 0.7979005484443371 0
20 COCCNc1nc(Nc2ccc(Br)cc2)ncc1F 0.68 0.58 0.7906374301472671 0.8729720191355442 0.7906374301472671 0.8729720191355442 0
18 CCNc1nc(Nc2ccc(N)cc2)ncc1F 0.72 0.53 0.7230487779766268 0.8715545454277459 0.7230487779766268 0.8715545454277459 0
17 CNc1nc(Nc2ccc(Cl)cc2)ncc1F 0.74 0.56 0.8815701804728143 0.8855905721031861 0.8815701804728143 0.8855905721031861 0
19 OCCNc1nc(Nc2ccc(Br)cc2)ncc1F 0.64 0.52 0.7872456680396345 0.8699082370442844 0.7872456680396345 0.8699082370442844 0
18 CNc1nc(Nc2ccc(OC)cc2)ncc1F 0.7 0.56 0.8697028825192977 0.8901566570416222 0.8697028825192977 0.8901566570416222 0
20 COc1ccc(Nc2ncc(F)c(NC3CC3)n2)cc1 0.71 0.59 0.8775053917990203 0.8880529907954633 0.8775053917990203 0.8880529907954633 0
22 CC(C)Nc1nc(Nc2ccc(C(C)(C)N)cc2)ncc1F 0.64 0.54 0.7892564347210447 0.8435115927912149 0.7892564347210447 0.8435115927912149 0
15 Cc1nc(Nc2ccccc2)ncc1F 0.55 0.52 0.8149041202303235 0.9017412813732081 0.8149041202303235 0.9017412813732081 0
19 CC(C)Nc1nc(Nc2ccc(S)cc2)ncc1F 0.63 0.55 0.7495667607708147 0.836440651171038 0.7495667607708147 0.836440651171038 0
19 COCNc1nc(Nc2ccc(N)cc2)ncc1F 0.71 0.56 0.5645329276172566 0.8388113709474181 0.5645329276172566 0.8388113709474181 0
19 NCCNc1nc(Nc2cccc(Br)c2)ncc1F 0.8 0.52 0.7870178534517415 0.8574139350499824 0.7870178534517415 0.8574139350499824 0
16 Nc1ccc(Nc2ncc(F)c(N)n2)cc1 0.59 0.65 0.6661249077724543 0.8747226480382194 0.6661249077724543 0.8747226480382194 0
18 CN(C)c1nc(Nc2ccc(N)cc2)ncc1F 0.55 0.63 0.8119949526393425 0.8623245424111546 0.8119949526393425 0.8623245424111546 0
15 Nc1nc(Nc2ccccc2)ncc1F 0.63 0.5 0.7841934614991295 0.898201030925981 0.7841934614991295 0.898201030925981 0
19 CC(C)(C)Nc1nc(Nc2ccccc2)ncc1F 0.87 0.53 0.8854088044405266 0.8749852085005012 0.8854088044405266 0.8749852085005012 0
17 c1ccc(Nc2ccnc(NC3CC3)n2)cc1 0.56 0.51 0.8412715286028017 0.8965872003083142 0.8412715286028017 0.8965872003083142 0
19 Nc1ccccc1Nc1nc(NC2CC2)ncc1F 0.55 0.5 0.7354630287703497 0.8651452740813215 0.7354630287703497 0.8651452740813215 0
20 Fc1cnc(NC2CCCC2)nc1Nc1ccccc1 0.62 0.54 0.8903859020481186 0.8869815710466127 0.8903859020481186 0.8869815710466127 0
21 Fc1cnc(Nc2ccccc2)nc1Nc1ccccc1 0.92 0.55 0.7549981290947186 0.9112579600126371 0.7549981290947186 0.9112579600126371 0
