size smiles gsk3b jnk3 qed sa qed sa max_or_val 
23 Fc1ccc(Nc2ncc(Cl)c(Nc3ccccc3F)n2)cc1 0.78 0.8 0.7134741531129651 0.8911778651629694 0.7134741531129651 0.8911778651629694 1
24 COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3F)n2)cc1 0.73 0.84 0.6981404318925082 0.8930635420315812 0.6981404318925082 0.8930635420315812 1
25 NC(=O)c1ccccc1Nc1nc(Nc2ccc(F)cc2)ncc1Cl 0.76 0.95 0.644469381672002 0.8815416527036185 0.644469381672002 0.8815416527036185 1
25 O=C(O)c1ccc(Nc2ncc(Cl)c(Nc3ccccc3F)n2)cc1 0.9 0.74 0.624069950542025 0.8861002659213868 0.624069950542025 0.8861002659213868 1
26 COc1ccccc1Nc1nc(Nc2ccc(C(=O)O)cc2)ncc1Cl 0.83 0.68 0.5939841933681541 0.8876051549013582 0.5939841933681541 0.8876051549013582 1
23 Fc1ccccc1Nc1nc(Nc2ccc(Cl)cc2)ncc1Cl 0.79 0.82 0.6612651068351717 0.8917797299648343 0.6612651068351717 0.8917797299648343 1
25 NC(=O)c1ccccc1Nc1nc(Nc2ccc(Cl)cc2)ncc1Cl 0.86 0.99 0.6167643952262964 0.8821011326602817 0.6167643952262964 0.8821011326602817 1
25 NC(=O)c1ccc(Nc2ncc(Cl)c(Nc3ccccc3Cl)n2)cc1 0.9 0.86 0.6167643952262963 0.8825635378607151 0.6167643952262963 0.8825635378607151 1
25 NC(=O)c1ccc(Nc2ncc(Cl)c(Nc3ccccc3F)n2)cc1 0.9 0.87 0.644469381672002 0.8820196592041601 0.644469381672002 0.8820196592041601 1
26 CNC(=O)c1ccccc1Nc1nc(Nc2ccc(F)cc2)ncc1Cl 0.71 0.8 0.628509918177078 0.8783856122818156 0.628509918177078 0.8783856122818156 0
23 Fc1ccc(Nc2ncc(Cl)c(Nc3ccccc3Cl)n2)cc1 0.78 0.79 0.6612651068351716 0.8917629467480511 0.6612651068351716 0.8917629467480511 0
25 NC(=O)c1ccccc1Nc1nc(Nc2ccc(Cl)cc2)ncc1Cl 0.86 0.99 0.6167643952262964 0.8821011326602817 0.6167643952262964 0.8821011326602817 0
23 Fc1ccccc1Nc1nc(Nc2ccc(Cl)cc2)ncc1Cl 0.79 0.82 0.6612651068351717 0.8917797299648343 0.6612651068351717 0.8917797299648343 0
23 Fc1ccc(Nc2ncc(Cl)c(Nc3ccccc3F)n2)cc1 0.78 0.8 0.7134741531129651 0.8911778651629694 0.7134741531129651 0.8911778651629694 0
24 COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3F)n2)cc1 0.73 0.84 0.6981404318925082 0.8930635420315812 0.6981404318925082 0.8930635420315812 0
25 NC(=O)c1ccccc1Nc1nc(Nc2ccc(F)cc2)ncc1Cl 0.76 0.95 0.644469381672002 0.8815416527036185 0.644469381672002 0.8815416527036185 0
25 NC(=O)c1ccc(Nc2ncc(Cl)c(Nc3ccccc3Cl)n2)cc1 0.9 0.86 0.6167643952262963 0.8825635378607151 0.6167643952262963 0.8825635378607151 0
25 NC(=O)c1ccc(Nc2ncc(Cl)c(Nc3ccccc3F)n2)cc1 0.9 0.87 0.644469381672002 0.8820196592041601 0.644469381672002 0.8820196592041601 0
25 O=C(O)c1ccc(Nc2ncc(Cl)c(Nc3ccccc3F)n2)cc1 0.9 0.74 0.624069950542025 0.8861002659213868 0.624069950542025 0.8861002659213868 0
28 CNC(=O)c1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1 0.78 0.85 0.507562505789678 0.8710070812108024 0.507562505789678 0.8710070812108024 0
26 COc1ccccc1Nc1nc(Nc2ccc(C(=O)O)cc2)ncc1Cl 0.83 0.68 0.5939841933681541 0.8876051549013582 0.5939841933681541 0.8876051549013582 0
